status,category,subcategory,brand,name,sku,price,original_price,currency,stock_quantity,variant_min_price,variant_max_price
active,ion,wetsuits-women-springsuits,,Amaze Hot Shorty 1.5 LS Frontzip,,182.00,,EUR,1,182,182
active,ion,,,Amaze Shorty 2.0 LS Backzip,,182.00,,EUR,1,182,182
active,ion,,,IOW-Poncho Core,,81.00,,EUR,7,81,81
active,ion,footwear,,Tribord 1.5mm Split-Toe Neoprene Surf and Water Shoes,,40.00,,EUR,1,40,40
active,ion,,Duotone,Kite Pump,,64.00,,EUR,2,64,64
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 3/2 Front Zip,,365.00,,EUR,1,365,365
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Back Zip,,375.00,,EUR,2,375,375
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Front Zip,,345.00,,EUR,1,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Front Zip,,345.00,,EUR,1,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Front Zip,,345.00,,EUR,2,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Front Zip,,345.00,,EUR,1,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Frontzip,,345.00,,EUR,1,,
active,ion,wetsuits-women-springsuits,ION,Amaze Hot Shorty 1.5 LS Front Zip ,,182.00,,EUR,1,182,182
active,ion,wetsuits-women-springsuits,ION,Amaze Shorty 2.5 SS Back Zip,,182.00,,EUR,1,182,182
active,ion,wetsuits-women-springsuits,ION,Amaze Shorty 2.5 SS Back Zip ,,182.00,,EUR,2,182,182
active,ion,,ION,BS - Strike Amp Overknee S 4/3 Back Zip,,310.00,,EUR,1,310,310
active,ion,wetsuits-women-springsuits,ION,BS Muse Shorty Crossback 1.5 DL,,100.00,,EUR,1,,
active,ion,,ION,Bottoms Ball Slapper Shorts,,0.00,,EUR,2,,
active,ion,,ION,Core Stirke Overknee 3/2 ,,0.00,,EUR,1,,
active,ion,wetsuits-men-springsuits,ION,Element 2/2 Shorty LS Back Zip,,182.00,,EUR,5,182,182
active,ion,wetsuits-men-springsuits,ION,Element 2/2 Shorty LS Front Zip,,182.00,,EUR,4,182,182
active,ion,,ION,Element 3/2 Front Zip ,,280.00,,EUR,1,280,280
active,ion,wetsuits-women-fullsuits,ION,Element 5/4 Back Zip,,284.00,,EUR,1,284,284
active,ion,,ION,Hardcap,,0.00,,EUR,1,0,0
active,ion,,ION,Hardcap,,0.00,,EUR,1,0,0
active,ion,harnesses-kite,ION,Harness Waist Kite Axxis,,253.00,,EUR,1,253,253
active,ion,harnesses-kite,ION,Harness Waist Kite Muse,,284.00,,EUR,2,284,284
active,ion,harnesses-kite,ION,Harness Waist Kite Riot Curv,,486.00,,EUR,2,486,486
active,ion,harnesses-kite,ION,Harness Waist Kite Rival,,284.00,,EUR,1,284,284
active,ion,harnesses-kite,ION,Harness Waist Kite Sol Curv,,486.00,,EUR,6,486,486
active,ion,,ION,Hooded Neo West 2/1 ,,111.00,,EUR,1,111,111
active,ion,,ION,Hooded Neo West 3/2 ,,108.00,,EUR,2,108,108
active,ion,,ION,ION Cap,,51.00,,EUR,3,51,51
active,ion,footwear,ION,ION Split-Toe Neoprene Surf and Water Boots,,0.00,,EUR,1,,
active,ion,,ION,IOW - Helmet Slash Amp,,132.00,,EUR,1,132,132
active,ion,,ION,IOW - Helmet Slash Amp,,132.00,,EUR,1,132,132
active,ion,,ION,IOW - Helmet Slash Amp,,132.00,,EUR,4,132,132
active,ion,,ION,IOW - Helmet Slash Amp,,132.00,,EUR,2,132,132
active,ion,,ION,IOW Helmet Slash Amp,,132.00,,EUR,0,132,132
active,ion,wetsuits-women-fullsuits,ION,IOW Static 3/2 Back Zip,,182.00,,EUR,1,182,182
active,ion,wetsuits-women-fullsuits,ION,IOW Static 3/2 Back Zip Women,,193.00,,EUR,1,193,193
active,ion,,ION,IOW- Helmet Slash Amp,,132.00,,EUR,2,132,132
active,ion,,ION,IOW- Helmet Slash Amp,,132.00,,EUR,2,132,132
active,ion,,ION,IOW-Bottoms Swimsuit LS,,80.00,,EUR,2,80,80
active,ion,harnesses-kite,ION,IOW-Harness Waist Kite Apex,,385.00,,EUR,6,385,385
active,ion,harnesses-kite,ION,IOW-Harness Waist Kite Nova,,385.00,,EUR,3,385,385
active,ion,harnesses-kite,ION,IOW-Harness Waist Kite Spectre,,608.00,700.00,EUR,3,608,608
active,ion,harnesses-kite,ION,Kite Waist Harness Apex 8,,385.00,,EUR,2,385,385
active,ion,harnesses-kite,ION,Kite Waist Harness Apex Curv 13,,360.00,,EUR,1,360,360
active,ion,harnesses-kite,ION,Kite Waist Harness Nova 6,,259.00,,EUR,1,259,259
active,ion,harnesses-kite,ION,Kite Waist Harness Sol 7,,249.00,,EUR,1,249,249
active,ion,harnesses-kite,ION,Kİte Waist Harness Nova Curv 10,,340.00,,EUR,3,340,340
active,ion,footwear,ION,Magma Shoes 2.5 RT,,70.00,,EUR,13,70,70
active,ion,,ION,Neo Top 0.5 LS,,122.00,,EUR,8,122,122
active,ion,,ION,Neo Top 2/1 SS,,110.00,,EUR,1,110,110
active,ion,,ION,Neo Top 2/2 LS,,142.00,,EUR,4,142,142
active,ion,protection,ION,Plasma Shoes 2.5mm,,66.00,85.00,EUR,0,66,66
active,ion,,ION,Rasguard LS,,60.00,,EUR,5,60,60
active,ion,apparel-tops,ION,Rashguard LS,,60.00,,EUR,1,60,60
active,ion,,ION,Rashguard LS,,60.00,,EUR,3,60,60
active,ion,apparel-tops,ION,Rashguard LS,,60.00,,EUR,5,60,60
active,ion,apparel-tops,ION,Rashguard Lizz LS,,61.00,,EUR,3,61,61
active,ion,apparel-tops,ION,Rashguard Lizz LS,,61.00,,EUR,6,61,61
active,ion,apparel-tops,ION,Rashguard Lizz SS,,61.00,,EUR,4,61,61
active,ion,apparel-tops,ION,Rashguard Maze LS,,66.00,,EUR,5,66,70
active,ion,apparel-tops,ION,Rashguard Promo LS,,51.00,,EUR,1,51,51
active,ion,apparel-tops,ION,Rashguard Promo LS ,,51.00,,EUR,10,51,51
active,ion,apparel-tops,ION,Rashguard SS,,51.00,,EUR,1,51,51
active,ion,wetsuits-men-fullsuits,ION,Seek Core 3/2 Front Zip,,314.00,,EUR,1,314,314
active,ion,wetsuits-men-springsuits,ION,Seek Core 3/2 Shorty LS Front Zip,,260.00,,EUR,1,260,260
active,ion,wetsuits-men-fullsuits,ION,Seek Core 4/3 Back Zip,,367.00,,EUR,1,367,367
active,ion,wetsuits-men-fullsuits,ION,Seek Core 4/3 Back Zip,,367.00,,EUR,4,367,367
active,ion,wetsuits-men-fullsuits,ION,Seek Core 4/3 Back Zip,,367.00,,EUR,1,367,367
active,ion,wetsuits-men-fullsuits,ION,Seek Core 4/3 Front Zip,,370.00,,EUR,1,370,370
active,ion,wetsuits-men-fullsuits,ION,Seek Core 4/3 Front Zip,,370.00,,EUR,1,,
active,ion,wetsuits-women,ION,Seek Core 4/3 Overknee LS Front Zip,,260.00,280.00,EUR,3,260,260
active,ion,,ION,Thermo Top LS,,70.00,,EUR,6,70,70
active,ion,protection-women,ION,Vest Ivy Front Zip,,172.00,,EUR,4,172,172
active,ion,protection-women,ION,Vest Ivy Front Zip,,172.00,,EUR,2,172,172
active,ion,protection-men,ION,Vest Vector Amp Front Zip,,200.00,,EUR,0,200,200
active,ion,protection-men,ION,Vest Vector Amp Front Zip,,200.00,,EUR,0,200,200
active,ion,protection-men,ION,Vest Vector Amp Front Zip,,200.00,,EUR,3,200,200
active,ion,protection-men,ION,Vest Vector Element Side Zip Men,,193.00,,EUR,1,193,193
active,ion,protection-men,ION,Vest Vector Select Front Zip,,193.00,,EUR,2,193,193
active,ion,,ION,Wetshirt Hood LS,,76.00,,EUR,1,76,76
active,ion,,ION,Wetshirt LS,,60.00,,EUR,2,60,60
active,ion,,ION,Wetshirt LS,,70.00,,EUR,8,70,70
active,ion,,ION,Wetshirt Storm Pro LS,,111.00,,EUR,0,111,111
active,ion,wetsuits-women-fullsuits,ION,Wetsuit Amaze Core 4/3 Back Zip,,375.00,,EUR,1,375,375
active,ion,wetsuits-women-fullsuits,ION,Wetsuit Amaze Core 4/3 Back Zip ,,375.00,400.00,EUR,1,375,375
active,ion,wetsuits-women-springsuits,ION,Wetsuit Amaze Shorty 2.5 SS Back Zip ,,182.00,,EUR,1,182,182
active,ion,wetsuits-men-fullsuits,ION,Wetsuit Element 4/3 Back Zip,,284.00,,EUR,1,284,284
active,ion,,ION,Windproof Neoprene Hoodie,,0.00,,EUR,1,0,0
active,ion,wetsuits-women-springsuits,ION,Women's Shorty Wetsuit / Short Sleeve Shorty Backzip,,172.00,,EUR,1,172,172
active,ion,,Mystic,Block Impact Vest,,125.00,,EUR,1,125,125
active,kitesurf,boards-twintips,,LF Absolute,,0.00,,EUR,1,,
active,kitesurf,,,Liquid Force,,0.00,,EUR,1,,
active,kitesurf,bindings-boots,Duotone,Binding Entity Ergo,,262.00,,EUR,5,262,262
active,kitesurf,bars-click,Duotone,DTK-Click Bar Quad Control,,806.00,,EUR,2,806,806
active,kitesurf,bars-trust,Duotone,DTK-Trust Bar Quad Control Large,,578.00,,EUR,1,578,578
active,kitesurf,bars-trust,Duotone,DTK-Trust Bar Quad Control Medium,,578.00,,EUR,3,578,578
active,kitesurf,kites,Duotone,Dice,,0.00,,EUR,2,,
active,kitesurf,kites,Duotone,Dice SLS,,1709.00,,EUR,2,1709,1709
active,kitesurf,spare-parts,Duotone,Duotone Chicken Loop Freeride,,87.00,,EUR,0,87,87
active,kitesurf,kites,Duotone,Evo D/Lab,,2682.00,,EUR,1,2682,2682
active,kitesurf,kites,Duotone,Evo SLS,,2025.00,,EUR,4,2025,2025
active,kitesurf,boards-twintips,Duotone,Gonzales,,0.00,,EUR,1,,
active,kitesurf,boards-twintips,Duotone,Jaime Concept Blue,,832.00,,EUR,6,832,832
active,kitesurf,boards-twintips,Duotone,Jaime SLS 2023,,822.00,,EUR,1,822,822
active,kitesurf,boards,Duotone,Jaime SLS 2026,,1262.00,,EUR,0,1262,1262
active,kitesurf,boards-surfboards,Duotone,PRO VOKE,,0.00,,EUR,1,,
active,kitesurf,kites,Duotone,Rebel D/LAB,,3051.00,3200.00,EUR,0,3051,3051
active,kitesurf,kites,Duotone,Rebel SLS,,2157.00,,EUR,1,2157,2157
active,kitesurf,boards-twintips,Duotone,Select,,0.00,,EUR,1,,
active,kitesurf,boards-twintips,Duotone,Select Concept Blue,,815.00,,EUR,5,815,815
active,kitesurf,boards-twintips,Duotone,Select SLS,,1262.00,,EUR,1,1262,1262
active,kitesurf,boards-twintips,Duotone,Shred,,0.00,,EUR,2,,
