status,category,subcategory,brand,name,sku,price,original_price,currency,stock_quantity,cost_price,variant_min_price,variant_max_price
active,ion,wetsuits-women-springsuits,,Amaze Hot Shorty 1.5 LS Frontzip,,0.00,,EUR,1,,,
active,ion,,,Amaze Shorty 2.0 LS Backzip,,0.00,,EUR,1,,,
active,ion,,,IOW-Poncho Core,,0.00,,EUR,7,,0,0
active,ion,footwear,,Tribord 1.5mm Split-Toe Neoprene Surf and Water Shoes,,40.00,,EUR,1,,40,40
active,ion,,Duotone,Kite Pump,,64.00,,EUR,2,3200.00,64,64
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 3/2 Front Zip,,345.00,,EUR,1,,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Back Zip,,0.00,,EUR,2,,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Front Zip,,345.00,,EUR,1,345.00,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Front Zip,,345.00,,EUR,2,,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Front Zip,,345.00,,EUR,1,,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Front Zip,,345.00,,EUR,1,,,
active,ion,wetsuits-women-fullsuits,ION,Amaze Core 4/3 Frontzip,,345.00,,EUR,1,,,
active,ion,wetsuits-women-springsuits,ION,Amaze Hot Shorty 1.5 LS Front Zip ,,160.00,180.00,EUR,1,0.00,,
active,ion,wetsuits-women-springsuits,ION,Amaze Shorty 2.5 SS Back Zip,,0.00,,EUR,1,,,
active,ion,wetsuits-women-springsuits,ION,Amaze Shorty 2.5 SS Back Zip ,,0.00,,EUR,2,,,
active,ion,,ION,BS - Strike Amp Overknee S 4/3 Back Zip,,310.00,,EUR,1,,310,310
active,ion,wetsuits-women-springsuits,ION,BS Muse Shorty Crossback 1.5 DL,,100.00,,EUR,1,,,
active,ion,,ION,Bottoms Ball Slapper Shorts,,0.00,,EUR,2,,,
active,ion,,ION,Core Stirke Overknee 3/2 ,,0.00,,EUR,1,,,
active,ion,wetsuits-men-springsuits,ION,Element 2/2 Shorty LS Back Zip,,175.00,,EUR,5,,0,175
active,ion,wetsuits-men-springsuits,ION,Element 2/2 Shorty LS Front Zip,,180.00,,EUR,4,,0,180
active,ion,,ION,Element 3/2 Front Zip ,,280.00,,EUR,1,,280,280
active,ion,wetsuits-women-fullsuits,ION,Element 5/4 Back Zip,,270.00,,EUR,1,,,
active,ion,,ION,Hardcap,,0.00,,EUR,1,,0,0
active,ion,,ION,Hardcap,,0.00,,EUR,1,,0,0
active,ion,harnesses-kite,ION,Harness Waist Kite Axxis,,0.00,230.00,EUR,1,,,
active,ion,harnesses-kite,ION,Harness Waist Kite Muse,,0.00,,EUR,2,,,
active,ion,harnesses-kite,ION,Harness Waist Kite Riot Curv,,485.00,,EUR,2,,485,485
active,ion,harnesses-kite,ION,Harness Waist Kite Rival,,0.00,,EUR,1,,,
